description,prob_type
"Need someone to make the necessary repairs to the heating unit.  There is no heat.

Contact person: Keana Rucker 410-396-8418

Olivia 1/2/18
Assigned to R.F Warder",HVAC
"Please check the heat in the RMS office area, they are complaining that it is too cold.
The thermostats are reading between 68 and 70 degrees.
Contact: Lt. Breault  443-984-7345

Tonya Smith 1/2/2018
Assigned to Fischer",HVAC
"Provide labor & material to restore heat throughout building - heating units needs resetting


Completed by JF Fischer

Jonae Barnes 1/3/18
Sent to Fischer",HVAC
"There is no heat in the bike unit which is located in the area behind City Watch, 118 N. Howard St.. The temperature is reported as being 30 Degrees.
Contact: Lt. Featherstone

Tonya Smith 1/2/2018
Assigned to Fischer",HVAC
"URGENT:  Restore heat in supervisor's building, locker rooms, cafeteria, hallways and storeroom at this location asap.  Contact person is Debbie Shum (410-396-0232).


Tonya Smith 1/2/2018
Assigned to R. F. Warder",HVAC
"URGENT:  Restore heat in men's and women's locker rooms at this location asap.  Contact person is Roosevelt Grandy (410-396-3061).

Tonya Smith 1/2/2018
Assigned to R. F. Warder",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT AT THE RAWLINGS CONSERVATORY - THIS WAS AN EMERGENCY CALL ON SUNDAY, DECEMBER 31, 2017 - CONFIRMING SR - JASON ALREADY RESPONDED


Tonya Smith 1/2/2017
Assigned to Fischer",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT AT CAHILL RECREATION CENTER - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Tonya Smith 1/2/2017
Assigned to Fischer",HVAC
"Repair heating unit for Bunkrooms, no heat in rooms.
Req. 65141
Officer in charge
410-396-1226

Wycliffe Eccles

J.F. Fischer notified.    Spoke to Jason Wagaman.

Olivia 1/3/18
Assigned to Fischer",HVAC
Please provide labor and material to :  1. trace and identify wire from breaker panel and label. 2. cover all spare empty breaker slots.. 3. Install new outlet in supervisors office .  Contact person  Sergio Roach  at 443-463-5806 or  Victor Taylor at  443-908-2394,Electrical
REPLACE BUSTED HOT WATER HEATER IN BOILER ROOM,Plumbing
"PROVIDE REPAIRS FOR HVAC CONTROLS BOILER DISPLAYING LOCKOUT

Tonya Smith 1/2/2018
Assigned to Fischer",HVAC
"Repair light fixture in elevator.
Req. 65136
Officer in charge
410-396-5163

Terry Howell",Electrical
"Replace burnt out recessed light bulbs in the Sex Offense Unit in the small hallway by the new construction.
Contact: Ray Branch",Electrical
"Clear blocked drain for urinal in 2nd Flr Member's Restroom.
Req. 65437
Officer in charge
410-396-5163

John Hammock",Plumbing
"There is no heat in staff review the thermostat is set to 85 deg. and the temp. is 65 Degrees.
Contact: Ray Branch

Tonya Smith 12/29/2017
Assigned to Reginald Frederick

Olivia 1/17/18
Assigned to Fischer",HVAC
"URGENT:  Restore heat at this location asap.  Contact person is Eric Davis (410-396-2907).

Tonya Smith 12/29/2017
Assigned to Reginald Frederick",HVAC
"Per Dexter Wade of Glass Substance Abuse, the HVAC needs to be switched to heat.

Tonya Smith 12/29/2017
Assigned to Antwarren Snell",HVAC
"URGENT
No heat on 2nd floor of the building.  Circulating pump is running, but baseboard radiators are reading 36 degrees.  Must have repaired as soon as possible as the pipes will burst with the low
temperatures and the building will be closed for the three day weekend.
Contact Mark Pappas at 396-7132 or 443-845-8611.  There is another Archibus request in to replace a circulation pump for the 4th floor. Is it possible they can address this problem when they come out
today to replace the pump?",HVAC
The pump in the pump house at the Millennium location appears dead. Contact James Rohrbach 410-375-6251 when you arrive.,Electrical
"Please provide labor & materials to repair the leaking pipe in the sprinkler room. This request is an emergency as the pipe has been leaking since Tuesday and the clinic director would like for this to be repaired before the weekend.

Karen Wheeler is the onsite contact 410-396-3861.",Plumbing
"No Heat ***URGENT***

Tonya Smith 12/29/2017
Assigned to JCI",HVAC
Provide labor & material to repair fan coil unit on the 1st floor - unit is malfunctioning,HVAC
"air handler 17 replace heat bundle
Jason on site

Jonae Barnes 12/29/17
Assigned to Fischer",HVAC
"no heat call in western district. 

Jason Comegys responded to call.

Tonya Smith 12/29/2017
Assigned to Fischer",HVAC
"No heat in the crime lab laboratory used for Latent Print Processing there is no heat. Thermostat ice12 n2=22 it reads 65 degrees
and thermostat ice11 n2=21 is reading 65 degrees and they are set to 80 degrees. The cold temps are affecting the instruments.
Contact: Ms. Morrow 410-637-8663


Tonya Smith 12/29/2017
Assigned to Fischer",HVAC
"Repair heating units in White Locker Room trailer and Red Turn-Out Gear trailer.
Req. 65132
Officer in charge
410-396-9982

Wycliffe Eccles

J.F. Fischer notified.    Spoke to Jason Wagaman.

Tonya Smith 12/29/2017
Assigned to Fischer",HVAC
"Repair air compressor for station air.
Req. 65135
Officer in charge
410-396-1255

Wycliffe Eccles

J.F. Fischer notified.    Spoke to Jason Wagaman.

Tonya Smith 12/29/2017
Assigned to Fischer",HVAC
"Several of my employees are complaining about the cold on their floors.  It is extremely cold in our offices.  Could someone please come up to check on the heat on the 8th, 9th and 10th floors.
Contact:  
Rana A. DellaRocco, M.S., D-ABC 
Director, Forensic Laboratory Section
Forensic Sciences and Evidence Management Division
Baltimore Police Department
410-396-2230(o)
443-257-4436(c)

Tonya Smith 12/29/2017
Assigned to Fischer",HVAC
"The pump in the pump house at the Millennium location are leaking and may be frozen . Contact James Rohrbach 410-375-6251

Tonya Smith 12/29/2017
Assigned to R. F. Warder",Plumbing
"steam leaks on ahu 13 
Jason on site

Jonae Barnes 12/29/17
Assigned to Fischer",HVAC
"#9 Waverly, Provide emergency repairs to leaking control value for HVAC unit. Contact Kevin Ficcaat 410-409-1539 or Rick Fisher at 443-250-0246 if needed,

Tonya Smith 1/2/2018
Assigned to Fischer",HVAC
"An intermittent odor issue is occurring in the men's 1st floor restroom. Time and duration of odor varies. Please install trap Primer. 

Tonya Smith 1/2/2018
Assigned to R. F Warder",Plumbing
"Replace burnt out light bulbs in the Motors Unit which is located in the Tactical Unit. 
Contact: Ray Branch",Electrical
"Circulating pump controlling the 4th floor id down.  We have removed the pump, but do not have a replacement.  need to have pump replaced as soon as possible as building is occupied.
This replacement is urgent as a three day weekend is coming up and we are afraid of the pipes freezing.  See attached photo for specs
Contact Mark Pappas at 410-396-7132 or 43-845-8611 (Cell)

Tonya Smith 12/29/2017
Assigned to Reginald Frederick",HVAC
"Replace bulbs and ballast at the following locations: 1st office in sector division , weight room men's , locker room , RMS , back of DDU....",Electrical
"Please supply labor and material to restore heat to the Waxter Center.  contact person is Verna Kindle 410-396-1324.

Tonya Smith 12/28/2017
Assigned to Michael Lawrence &  Antwarren Snell

Jonae Barnes 12/29/17
Assigned to Fischer",HVAC
"Furnace has been shutting off over night.  Needs service.  Contact office at 410-795-6151 or 410-795-2334

Tonya Smith 12/28/2017
Assigned to East Coast Welding",HVAC
"Need someone make repairs to the furnance.  It will not stay lit.  They think it has to do something with the water.

Contact person: Gary Thompson 410-396-4934

Tonya Smith 12/28/2017
Assigned to East Coast Welding",HVAC
"Per New Vision Youth Services, We do not have any heat in the back offices. You can call Mr. Stanfield at 410-805-6547

Tonya Smith 12/28/2017
Assigned to Pepco",HVAC
Unclog drain in storeroom located in the garage...,Plumbing
"freezing in room 7 
JCI

Olivia 12/28/17
Assigned to JCI",HVAC
"BBMR complaints of frigid conditions in the analyst and directors' offices.  
Cold air is continually blowing making office/working conditions unbearable.

Tonya Smith 12/28/2017
Assigned to JCI",HVAC
"Please supply labor and material to fix the heat at the Hatton Senior Ctr. It's cold at the center.  Contact person is Adrienne Blumberg 410-396-9025

Tonya Smith 12/28/2017
Assigned to R.F. Warder",HVAC
"Provide labor & material to repair / service boilers to become operational - boilers need servicing


Contact person: Ned Carter # 410-977-7727

Olivia 12/27/17
Assigned to R.F Warder",HVAC
"PROVIDE REPAIRS FOR FAN BOOSTER CONTROLS PLEASE ASSIGN TO J.F.FISCHER

Tonya Smith 12/28/2017
Assigned to Fischer",HVAC
"The Liebert unit on the 4th floor of the Abel-Wolman Building needs to be repaired. This is an URGENT REQUEST.
This request is for the ABEL-WOLMAN BUILDING, NOT the MECU Building.

Tonya Smith 12/28/2017
Assigned to Fisher",HVAC
"There is no heat in the main area of evidence control in the basement.
Contact : Ray Branch

Tonya Smith 12/28/2017
Assigned to Fischer",HVAC
"The temperature in the Compliance Section Office (Annex Building 4th Floor Annex Suite). The heat setting shifts to cool air periodically during the day and it needs to be adjusted. For example, in the morning the heat temperature is comfortable. Mid-morning until the end of the work day there is cold air blowing from the vents. From 9am until approximately 3pm the office is extremely cold.
The office is located in the Community Collaboration Section, the door to this area is by the electrical room. 
Contact: Ms. Bastfield for more information: 443-915-3395


Tonya Smith 12/28/2017
Assigned to Fischer",HVAC
"complaint 1st flr shelter admin area freezing 
contact Bernard 443-829-9990

Tonya Smith 12/28/2017
Assigned to Fischer",HVAC
"Unit near the gym entrance in the lower level is not working.  Not blowing any air, hot or cold.  Contact Kerry Owings at the site at 5-6951 or Mark Pappas at 6-7132

Attn:  Wycliffe Eccles

Tonya Smith 12/28/2017
Assigned to Reginald Frederick",HVAC
"Please supply labor and material to fix wiring coming down (for phone  or cable lines, not sure which) and needs to be reattached in the foyer area of the Eastern clinic.  Contact person is Melina Turtle 410-396-7575.",Electrical
"1. Check Fuel Levels

Tonya Smith 12/27/2017
Assigned to Michael Lawrence",HVAC
"2. Order fuel if necessary- Labor and material to have 3000 gallons of heating oil delivered to this location

Tonya Smith 12/27/2017
Assigned to Space Petroleum",HVAC
"1. Check Fuel Levels

Tonya Smith 12/27/2017
Assigned to Michael Lawrence",HVAC
"2. Order fuel if necessary- Labor and material to have 3550 gallons of heating oil delivered to this location

Tonya Smith 12/27/2017
Assigned to Space Petroleum",HVAC
"1. Check Fuel Levels

Tonya Smith 12/27/2017
Assigned to Michael Lawrence",HVAC
"2. Order fuel if necessary- Labor and material to have 450 gallons of heating oil delivered to this location

Tonya Smith 12/27/2017
Assigned to Space Petroleum",HVAC
"1. Check Fuel Levels

Tonya Smith 12/27/2017
Assigned to Michael Lawrence",HVAC
"2. Order fuel if necessary- Labor and material to have oil delivered to this location

Tonya Smith 12/27/2017
Assigned to Space Petroleum",HVAC
No hot water for showers.  Chris Rafferty - 410-396-7543,Plumbing
Replace bulbs in room 104...,Electrical
Replace bulbs and ballast at the following locations : old cell block area  and roll call rec room,Electrical
Replace bulbs and ballast in operations office located 2nd fl....,Electrical
"Please supply labor and material to fix the radiator leak in the 2nd fl conference room at the Eastern clinic.  Contact person is Melina Turtle 410-396-7575.


Tonya Smith 12/27/2017
Assigned to Michael Lawrence",HVAC
"Please supply labor and material to fix the radiator leak in the 2nd fl conference room at the Eastern clinic.  Contact person is Melina Turtle 410-396-7575.


Tonya Smith 12/27/2017
Assigned to Michael Lawrence",HVAC
"Please supply labor and material to shut off and repair radiator in the basement of the eastern clinic.  The office is flooded.  Contact person is Tanya Myers 443 984-1719.

Tonya Smith 12/28/2017
Assigned to Michael Lawrence &  Antwarren Snell",HVAC
"Please supply labor and material to shut off and repair radiator in the basement of the eastern clinic.  The office is flooded.  Contact person is Tanya Myers 443 984-1719.

Tonya Smith 12/28/2017
Assigned to Michael Lawrence &  Antwarren Snell",HVAC
"Repair door bell at front entry door.
Req. 82000
Officer in charge
410-396-1235

Ann Braun",Electrical
"Please provide labor & materials to repair the leaking ceiling pipe.

Sharon Miller is the onsite contact and can be reached at 410-396-4689.

Tonya Smith 2/21/2018
Assigned to Fischer",Plumbing
"Replace exterior light fixture on Hose Tower.
Req. 65130
Officer in charge
410-396-0253

Jim Fisher",Electrical
"Repair heating units in Apparatus Bay.
Req. 81997
Officer in charge
443-280-1646

Wycliffe Eccels

J.F. Fischer notified.     Spoke to Jason Wagaman.

Tonya Smith 12/28/2017
Assigned to Fischer",HVAC
"Provide labor and material to replace the compressor and any related devices or equipment that was damaged.

Olivia 12/27/17
Assigned to Fischer",HVAC
"Please provide labor and material to repair the heat in the roll call room and two restrooms on the 1st floor. the temp is currently 64.

Olivia 12/27/17
Assigned to Denver Elek",HVAC
"Heaters in the Prettyboy maintenance facility at 18514 Prettyboy Dam Rd are not working.  Contact Ryan or Bill at 410-396-1586

Tonya Smith 12/28/2017
Assigned to R. F. Warder",HVAC
"Make the necessary repairs to the lights. the electricity on one side of the building is out and as a result it is very cold. can some one come out asap .
Contact Person : Paulette Lawson
                           6-5520/5521",Electrical
"Clear blocked drain for utility sink on 2nd FLr.
Req. 81991
Officer in charge
410-396-0429

John Hammock",Plumbing
Replace bulbs and ballast near male and female bathrooms....,Electrical
"Replace bulbs and ballast at the following locations: computer lab  , front and rear entrances.....",Electrical
"Heat on 1st floor rear is blowing cold air. (Shiryl Grays 410-545-6520)

Tonya Smith 12/27/2017
Assigned to Michael Lawrence & Antwarren Snell",HVAC
"Heat on 1st floor rear is blowing cold air. (Shiryl Grays 410-545-6520)

Tonya Smith 12/27/2017
Assigned to Michael Lawrence & Antwarren Snell",HVAC
"There is no heat, blowing out cold air. Please check that the boiler is operational.

Olivia 12/26/17
Assigned to Pepco",HVAC
"Please provide labor & materials to repair the leaking radiator in room 225.

Deborah Cottman is the onsite contact and can be reached at 410-396-4604

Tonya Smith 12/26/2017
Assigned to Michael Lawrence & Antwarren Snell",HVAC
"Make the necessary repairs to the heat on the street lighting side. ASAP please. 
Contact person: Paulette Lawson 6-5520/5521

Tonya Smith 12/27/2017
Assigned to Michael Lawrence & Antwarren Snell",HVAC
"Please provide labor & materials to repair the thermostat. Its reading the wrong temperature.

Dominique is the onsite contact and can be reached at 410-396-9423.

Tonya Smith 12/27/2017
Assigned to Michael Lawrence & Antwarren Snell",HVAC
"There is no heat on the 2nd floor.

Tonya Smith 12/27/2017
Assigned to Michael Lawrence & Antwarren Snell",HVAC
"Repair exterior light fixtures on parking lot side of station.   If new fixtues are needed, new LED fixtures are available at Fire Repair Shop.
Req. 81988
Officer in charge
410-396-0452

Jim Fisher",Electrical
"Repair switch on overhead door that activates traffic light.
Req. 81983
Officer in charge
410-396-6242

Jim Fisher",Electrical
"Repair switch on overhead door for Engine, switch not activating traffic light.
Req. 81992
Officer in charge
410-396-0182

Jim Fisher",Electrical
"Repair heating system, no heat in most rooms on the 2nd Flr.   Replace blower motor on heating unit in Truck Office Bunkroom.
Req. 81985
Officer in charge
410-396-9205

Wycliffe Eccles

J.F. Fischer notified.     Spoke to Jason Wagaman.

Tonya Smith 12/27/2017
Assigned to Fischer",HVAC
